Image_Path,Red Pixel Value,Green Pixel Value,Blue Pixel Value,Mean RGB Pixel,Detected Disease,Encoded_Labels
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Healthy\Healthy (289).jpg,174.24910695281193,156.2488617118743,194.25189483328242,174.91662116598954,Healthy,1
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Splinter Hemmorrage\Splinter Hemmorrage (202).jpg,181.24061172472386,140.70297366185216,124.68530161427358,148.87629566694986,Splinter Hemmorrage,2
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Yellow Nail\yellow nail (16).PNG,204.49146174863387,166.92347449908925,157.04107468123863,176.15200364298724,Yellow Nail,4
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\White Nail\White Nail (735).PNG,146.92106227106228,128.87150183150183,120.57520146520146,132.12258852258853,White Nail,3
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\White Nail\White Nail (174).PNG,211.54217217159112,190.40927033145644,174.68453590294305,192.21199280199687,White Nail,3
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Bluish nail\Blue Nail (135).PNG,179.36075187969925,122.26736842105264,120.89879699248121,140.84230576441104,Bluish nail,0
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Splinter Hemmorrage\Splinter Hemmorrage (107).PNG,124.46293381663249,99.63224750003974,94.69275528210999,106.26264553292741,Splinter Hemmorrage,2
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Splinter Hemmorrage\Splinter Hemmorrage (44).PNG,154.07571794598056,122.51821554393082,121.52894469947688,132.70762606312942,Splinter Hemmorrage,2
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Healthy\Healthy (380).jpg,186.891195603673,169.7001596956389,201.2085946000955,185.93331663313583,Healthy,1
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Splinter Hemmorrage\Splinter Hemmorrage (42).jpg,216.2878968253968,169.5236111111111,133.54345238095237,173.1183201058201,Splinter Hemmorrage,2
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Healthy\Healthy (100).jpg,165.4742181439676,140.64828549717416,162.71955688888184,156.2806868433412,Healthy,1
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Yellow Nail\yellow nail (72).PNG,213.2977698128236,173.77407407407406,141.05491835921944,176.04225408203902,Yellow Nail,4
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Yellow Nail\yellow nail (625).PNG,250.70698888740125,232.8116213683224,214.97108046592584,232.8298969072165,Yellow Nail,4
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Healthy\Healthy (73).jpg,171.49577578497616,157.22458970919448,187.34783883147853,172.02273477521638,Healthy,1
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\White Nail\White Nail (291).PNG,86.89185132868367,66.7283040522645,78.46343544922162,77.36119694338993,White Nail,3
C:\Users\RISHI PANDE\Documents\Prediction\train_Nails\Yellow Nail\yellow nail (303).PNG,154.8591564927858,123.81065482796892,107.85715871254162,128.84232334443212,Yellow Nail,4
